"host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","room_type","accommodates","bedrooms","beds","price","minimum_nights_avg_ntm","maximum_nights_avg_ntm","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_location","review_scores_value","instant_bookable","reviews_per_month","host_since_season","host_since_year","host_response_rate_cat","host_acceptance_rate_cat"
"within an hour",FALSE,3,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,80,3,90,0,0,21,96,2,0,0,100,10,10,10,10,FALSE,0.05,"Winter","2010","very high","very high"
"within an hour",TRUE,6,TRUE,TRUE,"Sant Martí","Entire home/apt",6,3,5,200,3.1,1125,30,60,90,360,52,4,0,95,10,10,9,9,TRUE,0.45,"Winter","2010","very high","very high"
"Unknown",TRUE,1,TRUE,TRUE,"Gràcia","Private room",2,1,1,41,1,730,24,46,72,162,269,19,0,95,10,9,10,10,TRUE,2.2,"Spring","2010","Unknown","very high"
"within an hour",FALSE,5,TRUE,TRUE,"Gràcia","Entire home/apt",6,2,3,102.86,2,31,0,0,0,0,63,9,0,86,9,9,10,9,TRUE,0.57,"Spring","2010","very high","very high"
"within an hour",FALSE,3,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,70,4,120,30,60,90,180,8,0,0,68,8,8,8,7,FALSE,0.06,"Winter","2010","very high","very high"
"within an hour",FALSE,3,TRUE,TRUE,"Ciutat Vella","Entire home/apt",9,4,6,180,4,1125,30,60,90,180,149,10,0,91,10,9,10,9,TRUE,1.24,"Winter","2010","very high","very high"
"Unknown",FALSE,1,TRUE,FALSE,"Ciutat Vella","Private room",2,1,2,69,3,60,30,60,90,181,242,0,0,94,10,10,10,10,TRUE,2.15,"Summer","2010","Unknown","Unknown"
"within an hour",TRUE,4,TRUE,TRUE,"Eixample","Private room",2,1,1,16,2,1125,9,20,20,252,311,46,1,94,10,9,10,10,TRUE,3.02,"Summer","2010","very high","very high"
"within an hour",TRUE,4,TRUE,TRUE,"Eixample","Private room",1,1,1,14,2,1125,7,21,51,322,250,31,6,95,10,10,10,10,TRUE,2.22,"Summer","2010","very high","very high"
"within an hour",TRUE,4,TRUE,TRUE,"Eixample","Private room",1,1,1,15,2,1125,17,33,63,334,267,53,3,96,10,10,10,10,TRUE,2.65,"Summer","2010","very high","very high"
"within an hour",TRUE,4,TRUE,TRUE,"Eixample","Private room",2,1,1,27.29,2,1125,9,22,52,323,230,42,5,95,10,9,10,9,TRUE,3.18,"Summer","2010","very high","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Ciutat Vella","Private room",1,1,1,34,2,65,29,59,89,364,73,6,0,94,10,10,10,10,FALSE,0.67,"Summer","2010","Unknown","very high"
"within an hour",TRUE,7,TRUE,TRUE,"Eixample","Entire home/apt",4,1,1,30,2,364,0,0,0,0,160,46,3,94,10,10,10,10,TRUE,5.67,"Summer","2010","very high","very high"
"within a few hours",FALSE,8,TRUE,TRUE,"Gràcia","Entire home/apt",6,2,4,110,3,365,30,60,90,365,39,0,0,88,9,9,9,9,FALSE,0.39,"Summer","2010","very high","average"
"within an hour",TRUE,6,TRUE,TRUE,"Ciutat Vella","Entire home/apt",3,2,3,31,93,1125,22,52,82,357,2,0,0,70,6,6,7,6,TRUE,0.02,"Winter","2010","very high","very high"
"within an hour",FALSE,5,TRUE,TRUE,"Gràcia","Entire home/apt",6,2,0,67,2,31,30,60,90,316,42,4,0,88,9,9,10,9,TRUE,0.38,"Spring","2010","very high","very high"
